,zpid,id,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,variableData,badgeInfo,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,brokerName,info6String,hasAdditionalAttributions,isFeaturedListing,availabilityDate,list,relaxed,utcDateTime,info2String,info3String,hasOpenHouse,openHouseStartDate,openHouseEndDate,openHouseDescription,info1String,builderName
0,166022573,166022573,,https://photos.zillowstatic.com/fp/2c634c632dc3af67408e6dfc08d0f39a-p_e.jpg,True,https://www.zillow.com/homedetails/565-Elm-St-Concord-MA-01742/166022573_zpid/,FOR_SALE,House for sale,$,"$1,000,000",1000000,"565 Elm St, Concord, MA 01742",565 Elm St,Concord,MA,01742,False,4,3.0,2084.0,"{'latitude': 42.462997, 'longitude': -71.38148}",False,"{'type': 'DAYS_ON', 'text': '8 days on Zillow'}",,"{'homeInfo': {'zpid': 166022573, 'streetAddress': '565 Elm St', 'zipcode': '01742', 'city': 'Concord', 'state': 'MA', 'latitude': 42.462997, 'longitude': -71.38148, 'price': 1000000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2084.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1013400, 'rentZestimate': 3899, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 844200.0, 'lotAreaValue': 0.45999999999999996, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),1013400.0,False,False,False,False,Coldwell Banker Realty - Concord,Patricia  Bruso,True,False,,True,False,2022-10-11 08:08:57.766775,,,,,,,,
1,2062625155,2062625155,,https://photos.zillowstatic.com/fp/6b29cfe61325c8b34ce50ef18d3ed27c-p_e.jpg,True,https://www.zillow.com/homedetails/98-Amesbury-Rd-100-Exeter-NH-03833/2062625155_zpid/,FOR_SALE,Active,$,"$1,000,000",1000000,"98 Amesbury Road UNIT & 100 Amesbury Road, Kensington, NH 03833",98 Amesbury Road UNIT & 100 Amesbury Road,Exeter,NH,03833,False,3,4.0,5134.0,"{'latitude': 42.934124, 'longitude': -70.94564}",False,"{'type': 'DAYS_ON', 'text': '105 days on Zillow'}",,"{'homeInfo': {'zpid': 2062625155, 'streetAddress': '98 Amesbury Road UNIT & 100 Amesbury Road', 'zipcode': '03833', 'city': 'Exeter', 'state': 'NH', 'latitude': 42.934124, 'longitude': -70.94564, 'price': 1000000.0, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 5134.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# &-100', 'lotAreaValue': 1.965, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),,False,False,False,False,,,False,False,,True,False,2022-10-11 08:08:57.766775,Listing provided by NEREN,,,,,,,
2,2062887024,2062887024,,https://photos.zillowstatic.com/fp/2125f23fd1167391148326771285ea21-p_e.jpg,True,https://www.zillow.com/homedetails/1959-Todd-Hill-Rd-Canaan-VT-05903/2062887024_zpid/,FOR_SALE,Active,$,"$1,000,000",1000000,"1959 Todd Hill Road, Lemington, VT 05903",1959 Todd Hill Road,Canaan,VT,05903,False,3,2.0,1708.0,"{'latitude': 44.923344, 'longitude': -71.579956}",False,"{'type': 'DAYS_ON', 'text': '122 days on Zillow'}",,"{'homeInfo': {'zpid': 2062887024, 'streetAddress': '1959 Todd Hill Road', 'zipcode': '05903', 'city': 'Canaan', 'state': 'VT', 'latitude': 44.923344, 'longitude': -71.579956, 'price': 1000000.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1708.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'lotAreaValue': 289.0, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),,False,False,False,False,,,False,False,,True,False,2022-10-11 08:08:57.766775,Listing provided by NEREN,,,,,,,
3,2067997643,2067997643,,https://photos.zillowstatic.com/fp/68aec2a7b42ca4e49cbceda939be8e11-p_e.jpg,True,https://www.zillow.com/homedetails/16-W-Main-St-Cambridge-NY-12816/2067997643_zpid/,FOR_SALE,House for sale,$,"$1,000,000",1000000,"16 W Main Street, Cambridge, NY 12816",16 W Main Street,Cambridge,NY,12816,False,18,17.0,12000.0,"{'latitude': 43.028366, 'longitude': -73.38219}",False,"{'type': 'DAYS_ON', 'text': '241 days on Zillow'}",,"{'homeInfo': {'zpid': 2067997643, 'streetAddress': '16 W Main Street', 'zipcode': '12816', 'city': 'Cambridge', 'state': 'NY', 'latitude': 43.028366, 'longitude': -73.38219, 'price': 1000000.0, 'bathrooms': 17.0, 'bedrooms': 18.0, 'livingArea': 12000.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'rentZestimate': 5310, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'lotAreaValue': 0.75, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),,False,False,False,False,Listing by: Keller Williams Capital Dist,,True,False,,True,False,2022-10-11 08:08:57.766775,,,,,,,,
4,216017904,216017904,,https://photos.zillowstatic.com/fp/7e69a084c8ffdc792e178344f2688150-p_e.jpg,True,https://www.zillow.com/homedetails/40-Little-Ln-Salem-NY-12865/216017904_zpid/,FOR_SALE,House for sale,$,"$1,000,000",1000000,"40 Little Lane, Salem, NY 12865",40 Little Lane,Salem,NY,12865,False,4,2.0,1806.0,"{'latitude': 43.21967, 'longitude': -73.33183}",False,"{'type': 'PRICE_REDUCTION', 'text': '$200,000 (Oct 4)'}",,"{'homeInfo': {'zpid': 216017904, 'streetAddress': '40 Little Lane', 'zipcode': '12865', 'city': 'Salem', 'state': 'NY', 'latitude': 43.21967, 'longitude': -73.33183, 'price': 1000000.0, 'datePriceChanged': 1664866800000, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 1806.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 979899, 'rentZestimate': 5892, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$200,000 (Oct 4)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'priceChange': -200000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 274828.0, 'lotAreaValue': 164.0, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),979899.0,False,False,False,False,Listing by: Keller Williams Capital Dist,,True,False,,True,False,2022-10-11 08:08:57.766775,,,,,,,,
5,299443986,299443986,,https://photos.zillowstatic.com/fp/0131c146b4457732258381fe75f46ddc-p_e.jpg,True,https://www.zillow.com/homedetails/518-Stoney-Fields-Rd-Manchester-Center-VT-05255/299443986_zpid/,FOR_SALE,Active,$,"$1,000,000",1000000,"518 Stoney Fields Road, Manchester, VT 05255",518 Stoney Fields Road,Manchester Center,VT,05255,False,4,5.0,6492.0,"{'latitude': 43.18508, 'longitude': -73.06187}",False,"{'type': 'DAYS_ON', 'text': '6 days on Zillow'}",,"{'homeInfo': {'zpid': 299443986, 'streetAddress': '518 Stoney Fields Road', 'zipcode': '05255', 'city': 'Manchester Center', 'state': 'VT', 'latitude': 43.18508, 'longitude': -73.06187, 'price': 1000000.0, 'datePriceChanged': 1664866800000, 'bathrooms': 5.0, 'bedrooms': 4.0, 'livingArea': 6492.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'priceChange': 150000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 870500.0, 'lotAreaValue': 6.0, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),,False,False,False,False,,,False,False,,True,False,2022-10-11 08:08:57.766775,Listing provided by NEREN,,,,,,,
6,57052276,57052276,,https://photos.zillowstatic.com/fp/27e4ca5f0351142e09abd62cbaa862c6-p_e.jpg,True,https://www.zillow.com/homedetails/220-Mill-St-Burlington-MA-01803/57052276_zpid/,FOR_SALE,House for sale,$,"$1,000,000",1000000,"220 Mill St, Burlington, MA 01803",220 Mill St,Burlington,MA,01803,False,3,1.0,1444.0,"{'latitude': 42.52203, 'longitude': -71.18081}",False,"{'type': 'DAYS_ON', 'text': '8 days on Zillow'}",,"{'homeInfo': {'zpid': 57052276, 'streetAddress': '220 Mill St', 'zipcode': '01803', 'city': 'Burlington', 'state': 'MA', 'latitude': 42.52203, 'longitude': -71.18081, 'price': 1000000.0, 'bathrooms': 1.0, 'bedrooms': 3.0, 'livingArea': 1444.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1000181, 'rentZestimate': 3358, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 458400.0, 'lotAreaValue': 0.45999999999999996, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),1000181.0,False,False,False,False,Austin Realty Group,Michael Austin,True,False,,True,False,2022-10-11 08:08:57.766775,,,,,,,,
7,74270420,74270420,,https://photos.zillowstatic.com/fp/7189852366166dd974e473d2e5b099c3-p_e.jpg,True,https://www.zillow.com/homedetails/3-Williamsburg-Ln-Bedford-NH-03110/74270420_zpid/,FOR_SALE,Active,$,"$1,000,000",1000000,"3 Williamsburg Lane, Bedford, NH 03110",3 Williamsburg Lane,Bedford,NH,03110,False,4,3.0,3700.0,"{'latitude': 42.949387, 'longitude': -71.50301}",False,"{'type': '3D_HOME', 'text': '3D Tour'}",,"{'homeInfo': {'zpid': 74270420, 'streetAddress': '3 Williamsburg Lane', 'zipcode': '03110', 'city': 'Bedford', 'state': 'NH', 'latitude': 42.949387, 'longitude': -71.50301, 'price': 1000000.0, 'datePriceChanged': 1664175600000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 3700.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$150,000 (Sep 26)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'priceChange': -150000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 548800.0, 'lotAreaValue': 2.36, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),,False,True,False,False,,,False,False,,True,False,2022-10-11 08:08:57.766775,Listing provided by NEREN,,,,,,,
8,85036621,85036621,,https://photos.zillowstatic.com/fp/f5e5870f668f6f753350753cdf01b36e-p_e.jpg,True,https://www.zillow.com/homedetails/306-Cat-Mousam-Rd-Kennebunk-ME-04043/85036621_zpid/,FOR_SALE,Active,$,"$1,000,000",1000000,"306 Cat Mousam Road, Kennebunk, ME 04043",306 Cat Mousam Road,Kennebunk,ME,04043,False,5,3.0,2987.0,"{'latitude': 43.393955, 'longitude': -70.57079}",False,"{'type': 'PRICE_CHANGE', 'text': '(Jul 28)'}",,"{'homeInfo': {'zpid': 85036621, 'streetAddress': '306 Cat Mousam Road', 'zipcode': '04043', 'city': 'Kennebunk', 'state': 'ME', 'latitude': 43.393955, 'longitude': -70.57079, 'price': 1000000.0, 'bathrooms': 3.0, 'bedrooms': 5.0, 'livingArea': 2987.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 960400, 'rentZestimate': 3940, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1000000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 596300.0, 'lotAreaValue': 53.0, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),960400.0,False,False,False,False,Portside Real Estate Group,,True,False,,True,False,2022-10-11 08:08:57.766775,,https://photos.zillowstatic.com/fp/007c8aec25461d8203718eefd656ac5e-zillow_web_48_23.jpg,,,,,,
9,66811705,66811705,,https://photos.zillowstatic.com/fp/5848790f00f4b33e3b6acc80f1713a80-p_e.jpg,True,https://www.zillow.com/homedetails/41-Garnet-Cir-North-Andover-MA-01845/66811705_zpid/,FOR_SALE,House for sale,$,"$1,019,900",1019900,"41 Garnet Cir, North Andover, MA 01845",41 Garnet Cir,North Andover,MA,01845,False,4,4.0,4150.0,"{'latitude': 42.631924, 'longitude': -71.07463}",False,"{'type': 'PRICE_REDUCTION', 'text': '$20,000 (Sep 29)'}",,"{'homeInfo': {'zpid': 66811705, 'streetAddress': '41 Garnet Cir', 'zipcode': '01845', 'city': 'North Andover', 'state': 'MA', 'latitude': 42.631924, 'longitude': -71.07463, 'price': 1019900.0, 'datePriceChanged': 1664434800000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 4150.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1019905, 'rentZestimate': 6499, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$20,000 (Sep 29)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1019900.0, 'priceChange': -20000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 687400.0, 'lotAreaValue': 0.26, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),1019905.0,False,False,False,False,Keller Williams Realty,Kalpana Shetty,True,False,,True,False,2022-10-11 08:08:57.766775,,,,,,,,
10,86830707,86830707,,https://photos.zillowstatic.com/fp/44d0b1141991f01c7577fec7a55673f6-p_e.jpg,True,https://www.zillow.com/homedetails/59-Hawkins-Glen-Dr-Salem-NH-03079/86830707_zpid/,FOR_SALE,Active,$,"$1,030,000",1030000,"59 Hawkins Glen Drive, Salem, NH 03079",59 Hawkins Glen Drive,Salem,NH,03079,False,3,4.0,2672.0,"{'latitude': 42.81023, 'longitude': -71.19715}",False,"{'type': 'PRICE_REDUCTION', 'text': '$45,000 (Oct 3)'}",,"{'homeInfo': {'zpid': 86830707, 'streetAddress': '59 Hawkins Glen Drive', 'zipcode': '03079', 'city': 'Salem', 'state': 'NH', 'latitude': 42.81023, 'longitude': -71.19715, 'price': 1030000.0, 'datePriceChanged': 1664780400000, 'bathrooms': 4.0, 'bedrooms': 3.0, 'livingArea': 2672.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'priceReduction': '$45,000 (Oct 3)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1030000.0, 'priceChange': -45000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 521000.0, 'lotAreaValue': 0.4100091827364555, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),,False,False,False,False,,,False,False,,True,False,2022-10-11 08:08:57.766775,Listing provided by NEREN,,,,,,,
11,2064220101,2064220101,,https://photos.zillowstatic.com/fp/b19e349574fedb81e25415cace88c76a-p_e.jpg,True,https://www.zillow.com/homedetails/Foxberry-Dr-28-New-Boston-NH-03070/2064220101_zpid/,FOR_SALE,Active,$,"$1,035,000",1035000,"Foxberry Drive UNIT 28, New Boston, NH 03070",Foxberry Drive UNIT 28,New Boston,NH,03070,False,4,4.0,4996.0,"{'latitude': 42.97743, 'longitude': -71.672806}",False,"{'type': 'DAYS_ON', 'text': '181 days on Zillow'}",,"{'homeInfo': {'zpid': 2064220101, 'streetAddress': 'Foxberry Drive UNIT 28', 'zipcode': '03070', 'city': 'New Boston', 'state': 'NH', 'latitude': 42.97743, 'longitude': -71.672806, 'price': 1035000.0, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 4996.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_newHome': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1035000.0, 'newConstructionType': 'BUILDER_SPEC', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 28', 'lotAreaValue': 2.11, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,New Construction,,False,False,False,False,,,False,False,,True,False,2022-10-11 08:08:57.766775,Listing provided by NEREN,,,,,,,
12,2067943015,2067943015,,https://photos.zillowstatic.com/fp/511a7f7c9bba690b4783736a837ec46c-p_e.jpg,True,https://www.zillow.com/homedetails/16-Sedgewood-Dr-Tuftonboro-NH-03816/2067943015_zpid/,FOR_SALE,Active,$,"$1,049,000",1049000,"Lot 16 Sedgewood Drive, Tuftonboro, NH 03816",Lot 16 Sedgewood Drive,Tuftonboro,NH,03816,False,4,3.0,2166.0,"{'latitude': 43.68926, 'longitude': -71.23463}",False,"{'type': 'DAYS_ON', 'text': '123 days on Zillow'}",,"{'homeInfo': {'zpid': 2067943015, 'streetAddress': 'Lot 16 Sedgewood Drive', 'zipcode': '03816', 'city': 'Tuftonboro', 'state': 'NH', 'latitude': 43.68926, 'longitude': -71.23463, 'price': 1049000.0, 'datePriceChanged': 1665126000000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2166.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_newHome': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1049000.0, 'priceChange': 60000, 'newConstructionType': 'BUILDER_SPEC', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'lotAreaValue': 1.24, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,New Construction,,False,False,False,False,,,False,False,,True,False,2022-10-11 08:08:57.766775,Listing provided by NEREN,,,,,,,
13,56036682,56036682,,https://photos.zillowstatic.com/fp/2ada8adc6afdead185cfe5d591ea88a4-p_e.jpg,True,https://www.zillow.com/homedetails/22-Brundrett-Ave-Andover-MA-01810/56036682_zpid/,FOR_SALE,House for sale,$,"$1,049,000",1049000,"22 Brundrett Ave, Andover, MA 01810",22 Brundrett Ave,Andover,MA,01810,False,4,4.0,4900.0,"{'latitude': 42.683247, 'longitude': -71.214355}",False,"{'type': 'VIDEO_WALKTHROUGH', 'text': 'Video Walkthrough'}",,"{'homeInfo': {'zpid': 56036682, 'streetAddress': '22 Brundrett Ave', 'zipcode': '01810', 'city': 'Andover', 'state': 'MA', 'latitude': 42.683247, 'longitude': -71.214355, 'price': 1049000.0, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 4900.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1049006, 'rentZestimate': 5000, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1049000.0, 'videoCount': 1, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 767700.0, 'lotAreaValue': 1.01, 'lotAreaUnit': 'acres'}}",False,False,False,ForSale,For Sale (Broker),1049006.0,False,False,True,False,Lillian Montalto Signature Properties,Team Lillian Montalto,True,False,,True,False,2022-10-11 08:08:57.766775,,,,,,,,
14,2061478948,2061478948,,https://photos.zillowstatic.com/fp/8c0df29a03ac878cfa259620f65a1dac-p_e.jpg,True,https://www.zillow.com/homedetails/6-Brook-St-31-Rowley-MA-01969/2061478948_zpid/,FOR_SALE,House for sale,$,"$1,049,900",1049900,"6 Brook St #31, Rowley, MA 01969",6 Brook St #31,Rowley,MA,01969,False,4,3.0,2857.0,"{'latitude': 42.727974, 'longitude': -70.93529}",False,"{'type': 'DAYS_ON', 'text': '9 days on Zillow'}",,"{'homeInfo': {'zpid': 2061478948, 'streetAddress': '6 Brook St #31', 'zipcode': '01969', 'city': 'Rowley', 'state': 'MA', 'latitude': 42.727974, 'longitude': -70.93529, 'price': 1049900.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2857.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1050200, 'rentZestimate': 4450, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1049900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 31', 'lotAreaValue': 9147.6, 'lotAreaUnit': 'sqft'}}",False,False,False,ForSale,For Sale (Broker),1050200.0,False,False,False,False,J. Barrett & Company,Edward Dick,True,False,,True,False,2022-10-11 08:08:57.766775,,,,,,,,
